CONTROL_PBIAS_LITE                          0x4A100600
CONTROL_CORE_PAD_UNIPRO_RY1                 0x4A10018E # CONTROL_CORE_PAD_UNIPRO_RX1_PAD1_UNIPRO_RY1[31:16]
CONTROL_CORE_PAD_UNIPRO_RX2                 0x4A100190 # CONTROL_CORE_PAD_UNIPRO_RX2_PAD1_UNIPRO_RY2[15:0]
CONTROL_CORE_PAD_UNIPRO_RY2                 0x4A100192 # CONTROL_CORE_PAD_UNIPRO_RX2_PAD1_UNIPRO_RY2[31:16]
CONTROL_CORE_PAD_USBA0_OTG_CE               0x4A100194 # CONTROL_CORE_PAD_USBA0_OTG_CE_PAD1_USBA0_OTG_DP[15:0]
CONTROL_CORE_PAD_USBA0_OTG_DP               0x4A100196 # CONTROL_CORE_PAD_USBA0_OTG_CE_PAD1_USBA0_OTG_DP[31:16]
CONTROL_CORE_PAD_USBA0_OTG_DM               0x4A100198 # CONTROL_CORE_PAD_USBA0_OTG_DM_PAD1_FREF_CLK1_OUT[15:0]
CONTROL_CORE_PAD_FREF_CLK1_OUT              0x4A10019A # CONTROL_CORE_PAD_USBA0_OTG_DM_PAD1_FREF_CLK1_OUT[31:16]
CONTROL_CORE_PAD_FREF_CLK2_OUT              0x4A10019C # CONTROL_CORE_PAD_FREF_CLK2_OUT_PAD1_SYS_NIRQ1[15:0]
CONTROL_CORE_PAD_SYS_NIRQ1                  0x4A10019E # CONTROL_CORE_PAD_FREF_CLK2_OUT_PAD1_SYS_NIRQ1[31:16]
CONTROL_CORE_PAD_SYS_NIRQ2                  0x4A1001A0 # CONTROL_CORE_PAD_SYS_NIRQ2_PAD1_SYS_BOOT0[15:0]
CONTROL_CORE_PAD_SYS_BOOT0                  0x4A1001A2 # CONTROL_CORE_PAD_SYS_NIRQ2_PAD1_SYS_BOOT0[31:16]
CONTROL_CORE_PAD_SYS_BOOT1                  0x4A1001A4 # CONTROL_CORE_PAD_SYS_BOOT1_PAD1_SYS_BOOT2[15:0]
CONTROL_CORE_PAD_SYS_BOOT2                  0x4A1001A6 # CONTROL_CORE_PAD_SYS_BOOT1_PAD1_SYS_BOOT2[31:16]
CONTROL_CORE_PAD_SYS_BOOT3                  0x4A1001A8 # CONTROL_CORE_PAD_SYS_BOOT3_PAD1_SYS_BOOT4[15:0]
CONTROL_CORE_PAD_SYS_BOOT4                  0x4A1001AA # CONTROL_CORE_PAD_SYS_BOOT3_PAD1_SYS_BOOT4[31:16]
CONTROL_CORE_PAD_SYS_BOOT5                  0x4A1001AC # CONTROL_CORE_PAD_SYS_BOOT5_PAD1_DPM_EMU0[15:0]
CONTROL_CORE_PAD_DPM_EMU0                   0x4A1001AE # CONTROL_CORE_PAD_SYS_BOOT5_PAD1_DPM_EMU0[31:16]
CONTROL_CORE_PAD_DPM_EMU1                   0x4A1001B0 # CONTROL_CORE_PAD_DPM_EMU1_PAD1_DPM_EMU2[15:0]
CONTROL_CORE_PAD_DPM_EMU2                   0x4A1001B2 # CONTROL_CORE_PAD_DPM_EMU1_PAD1_DPM_EMU2[31:16]
CONTROL_CORE_PAD_DPM_EMU3                   0x4A1001B4 # CONTROL_CORE_PAD_DPM_EMU3_PAD1_DPM_EMU4[15:0]
CONTROL_CORE_PAD_DPM_EMU4                   0x4A1001B6 # CONTROL_CORE_PAD_DPM_EMU3_PAD1_DPM_EMU4[31:16]
CONTROL_CORE_PAD_DPM_EMU5                   0x4A1001B8 # CONTROL_CORE_PAD_DPM_EMU5_PAD1_DPM_EMU6[15:0]
CONTROL_CORE_PAD_DPM_EMU6                   0x4A1001BA # CONTROL_CORE_PAD_DPM_EMU5_PAD1_DPM_EMU6[31:16]
CONTROL_CORE_PAD_DPM_EMU7                   0x4A1001BC # CONTROL_CORE_PAD_DPM_EMU7_PAD1_DPM_EMU8[15:0]
CONTROL_CORE_PAD_DPM_EMU8                   0x4A1001BE # CONTROL_CORE_PAD_DPM_EMU7_PAD1_DPM_EMU8[31:16]
CONTROL_CORE_PAD_DPM_EMU9                   0x4A1001C0 # CONTROL_CORE_PAD_DPM_EMU9_PAD1_DPM_EMU10[15:0]
CONTROL_CORE_PAD_DPM_EMU10                  0x4A1001C2 # CONTROL_CORE_PAD_DPM_EMU9_PAD1_DPM_EMU10[31:16]
CONTROL_CORE_PAD_DPM_EMU11                  0x4A1001C4 # CONTROL_CORE_PAD_DPM_EMU11_PAD1_DPM_EMU12[15:0]
CONTROL_CORE_PAD_DPM_EMU12                  0x4A1001C6 # CONTROL_CORE_PAD_DPM_EMU11_PAD1_DPM_EMU12[31:16]
CONTROL_CORE_PAD_DPM_EMU13                  0x4A1001C8 # CONTROL_CORE_PAD_DPM_EMU13_PAD1_DPM_EMU14[15:0]
CONTROL_CORE_PAD_DPM_EMU14                  0x4A1001CA # CONTROL_CORE_PAD_DPM_EMU13_PAD1_DPM_EMU14[31:16]
CONTROL_CORE_PAD_DPM_EMU15                  0x4A1001CC # CONTROL_CORE_PAD_DPM_EMU15_PAD1_DPM_EMU16[15:0]
CONTROL_CORE_PAD_DPM_EMU16                  0x4A1001CE # CONTROL_CORE_PAD_DPM_EMU15_PAD1_DPM_EMU16[31:16]
CONTROL_CORE_PAD_DPM_EMU17                  0x4A1001D0 # CONTROL_CORE_PAD_DPM_EMU17_PAD1_DPM_EMU18[15:0]
CONTROL_CORE_PAD_DPM_EMU18                  0x4A1001D2 # CONTROL_CORE_PAD_DPM_EMU17_PAD1_DPM_EMU18[31:16]
CONTROL_CORE_PAD_DPM_EMU19                  0x4A1001D4 # CONTROL_CORE_PAD_DPM_EMU19[31:0]
CONTROL_WKUP_PAD_SIM_IO                     0x4A31E040 # CONTROL_WKUP_PAD_SIM_IO_PAD1_SIM_CLK[15:0]
CONTROL_WKUP_PAD_SIM_CLK                    0x4A31E042 # CONTROL_WKUP_PAD_SIM_IO_PAD1_SIM_CLK[31:16]
CONTROL_WKUP_PAD_SIM_RESET                  0x4A31E044 # CONTROL_WKUP_PAD_SIM_RESET_PAD1_SIM_CD[15:0]
CONTROL_WKUP_PAD_SIM_CD                     0x4A31E046 # CONTROL_WKUP_PAD_SIM_RESET_PAD1_SIM_CD[31:16]
CONTROL_WKUP_PAD_SIM_PWRCTRL                0x4A31E048 # CONTROL_WKUP_PAD_SIM_PWRCTRL_PAD1_SR_SCL[15:0]
CONTROL_WKUP_PAD_SR_SCL                     0x4A31E04A # CONTROL_WKUP_PAD_SIM_PWRCTRL_PAD1_SR_SCL[31:16]
CONTROL_WKUP_PAD_SR_SDA                     0x4A31E04C # CONTROL_WKUP_PAD_SR_SDA_PAD1_FREF_XTAL_IN[15:0]
CONTROL_WKUP_PAD_FREF_XTAL_IN               0x4A31E04E # CONTROL_WKUP_PAD_SR_SDA_PAD1_FREF_XTAL_IN[31:16]
CONTROL_WKUP_PAD_FREF_SLICER_IN             0x4A31E050 # CONTROL_WKUP_PAD_FREF_SLICER_IN_PAD1_FREF_CLK_IOREQ[15:0]
CONTROL_WKUP_PAD_FREF_CLK_IOREQ             0x4A31E052 # CONTROL_WKUP_PAD_FREF_SLICER_IN_PAD1_FREF_CLK_IOREQ[31:16]
CONTROL_WKUP_PAD_FREF_CLK0_OUT              0x4A31E054 # CONTROL_WKUP_PAD_FREF_CLK0_OUT_PAD1_FREF_CLK3_REQ[15:0]
CONTROL_WKUP_PAD_FREF_CLK3_REQ              0x4A31E056 # CONTROL_WKUP_PAD_FREF_CLK0_OUT_PAD1_FREF_CLK3_REQ[31:16]
CONTROL_WKUP_PAD_FREF_CLK3_OUT              0x4A31E058 # CONTROL_WKUP_PAD_FREF_CLK3_OUT_PAD1_FREF_CLK4_REQ[15:0]
CONTROL_WKUP_PAD_FREF_CLK4_REQ              0x4A31E05A # CONTROL_WKUP_PAD_FREF_CLK3_OUT_PAD1_FREF_CLK4_REQ[31:16]
CONTROL_WKUP_PAD_FREF_CLK4_OUT              0x4A31E05C # CONTROL_WKUP_PAD_FREF_CLK4_OUT_PAD1_SYS_32K[15:0]
CONTROL_WKUP_PAD_SYS_32K                    0x4A31E05E # CONTROL_WKUP_PAD_FREF_CLK4_OUT_PAD1_SYS_32K[31:16]
CONTROL_WKUP_PAD_SYS_NRESPWRON              0x4A31E060 # CONTROL_WKUP_PAD_SYS_NRESPWRON_PAD1_SYS_NRESWARM[15:0]
CONTROL_WKUP_PAD_SYS_NRESWARM               0x4A31E062 # CONTROL_WKUP_PAD_SYS_NRESPWRON_PAD1_SYS_NRESWARM[31:16]
CONTROL_WKUP_PAD_SYS_PWR_REQ                0x4A31E064 # CONTROL_WKUP_PAD_SYS_PWR_REQ_PAD1_SYS_PWRON_RESET_OUT[15:0]
CONTROL_WKUP_PAD_SYS_PWRON_RESET_OUT        0x4A31E066 # CONTROL_WKUP_PAD_SYS_PWR_REQ_PAD1_SYS_PWRON_RESET_OUT[31:16]
CONTROL_WKUP_PAD_SYS_BOOT6                  0x4A31E068 # CONTROL_WKUP_PAD_SYS_BOOT6_PAD1_SYS_BOOT7[15:0]
CONTROL_WKUP_PAD_SYS_BOOT7                  0x4A31E06A # CONTROL_WKUP_PAD_SYS_BOOT6_PAD1_SYS_BOOT7[31:16]
CONTROL_WKUP_PAD_JTAG_NTRST                 0x4A31E06C # CONTROL_WKUP_PAD_JTAG_NTRST_PAD1_JTAG_TCK[15:0]
CONTROL_WKUP_PAD_JTAG_TCK                   0x4A31E06E # CONTROL_WKUP_PAD_JTAG_NTRST_PAD1_JTAG_TCK[31:16]
CONTROL_WKUP_PAD_JTAG_RTCK                  0x4A31E070 # CONTROL_WKUP_PAD_JTAG_RTCK_PAD1_JTAG_TMS_TMSC[15:0]
CONTROL_WKUP_PAD_JTAG_TMS_TMSC              0x4A31E072 # CONTROL_WKUP_PAD_JTAG_RTCK_PAD1_JTAG_TMS_TMSC[31:16]
CONTROL_WKUP_PAD_JTAG_TDI                   0x4A31E074 # CONTROL_WKUP_PAD_JTAG_TDI_PAD1_JTAG_TDO[15:0]
CONTROL_WKUP_PAD_JTAG_TDO                   0x4A31E076 # CONTROL_WKUP_PAD_JTAG_TDI_PAD1_JTAG_TDO[31:16]
CM_CLKSEL_CORE                              0x4A004100
CM_CLKSEL_ABE                               0x4A004108
CM_DLL_CTRL                                 0x4A004110
CM_CLKMODE_DPLL_CORE                        0x4A004120
CM_IDLEST_DPLL_CORE                         0x4A004124
CM_AUTOIDLE_DPLL_CORE                       0x4A004128
CM_CLKSEL_DPLL_CORE                         0x4A00412C
CM_DIV_M2_DPLL_CORE                         0x4A004130
CM_DIV_M3_DPLL_CORE                         0x4A004134
CM_DIV_M4_DPLL_CORE                         0x4A004138
CM_DIV_M5_DPLL_CORE                         0x4A00413C
CM_DIV_M6_DPLL_CORE                         0x4A004140
CM_DIV_M7_DPLL_CORE                         0x4A004144
CM_CLKMODE_DPLL_MPU                         0x4A004160
CM_IDLEST_DPLL_MPU                          0x4A004164
CM_AUTOIDLE_DPLL_MPU                        0x4A004168
CM_CLKSEL_DPLL_MPU                          0x4A00416C
CM_DIV_M2_DPLL_MPU                          0x4A004170
CM_SHADOW_FREQ_CONFIG1                      0x4A004260
CM_SHADOW_FREQ_CONFIG2                      0x4A004264
CM_CLKMODE_DPLL_PER		                      0x4A008140
CM_IDLEST_DPLL_PER			                    0x4A008144
CM_AUTOIDLE_DPLL_PER		                    0x4A008148
CM_CLKSEL_DPLL_PER			                    0x4A00814C
CM_DIV_M2_DPLL_PER			                    0x4A008150
CM_DIV_M3_DPLL_PER			                    0x4A008154
CM_DIV_M4_DPLL_PER			                    0x4A008158
CM_DIV_M5_DPLL_PER			                    0x4A00815C
CM_DIV_M6_DPLL_PER			                    0x4A008160
CM_DIV_M7_DPLL_PER			                    0x4A008164
CM_L3_2_GPMC_CLKCTRL                        0x4A008828
CM_MPU_M3_CLKSTCTRL                         0x4A008900
CM_MPU_M3_MPU_M3_CLKCTRL                    0x4A008920
CM_SDMA_CLKSTCTRL                           0x4A008A00
CM_MEMIF_CLKSTCTRL                          0x4A008B00
CM_MEMIF_EMIF_1_CLKCTRL                     0x4A008B30
CM_MEMIF_EMIF_2_CLKCTRL                     0x4A008B38
CM_C2C_CLKSTCTRL                            0x4A008C00
CM_L3INSTR_L3_3_CLKCTRL                     0x4A008E20
CM_L3INSTR_L3_INSTR_CLKCTRL                 0x4A008E28
CM_L3INSTR_INTRCONN_WP1_CLKCTRL             0x4A008E40
CM_DSS_CLKSTCTRL			                      0x4A009100
CM_DSS_DSS_CLKCTRL			                    0x4A009120
CM_DSS_DEISS_CLKCTRL		                    0x4A009128
CM_L4PER_CLKSTCTRL	                        0x4A009400
CM_L4PER_GPTIMER10_CLKCTRL	                0x4A009428
CM_L4PER_GPTIMER11_CLKCTRL	                0x4A009430
CM_L4PER_GPTIMER2_CLKCTRL	                  0x4A009438
CM_L4PER_GPTIMER3_CLKCTRL	                  0x4A009440
CM_L4PER_GPTIMER4_CLKCTRL	                  0x4A009448
CM_L4PER_GPTIMER9_CLKCTRL	                  0x4A009450
CM_L4PER_GPIO2_CLKCTRL		                  0x4A009460
CM_L4PER_GPIO3_CLKCTRL		                  0x4A009468
CM_L4PER_GPIO4_CLKCTRL		                  0x4A009470
CM_L4PER_GPIO5_CLKCTRL		                  0x4A009478
CM_L4PER_GPIO6_CLKCTRL		                  0x4A009480
CM_L4PER_HDQ1W_CLKCTRL		                  0x4A009488
CM_L4PER_I2C1_CLKCTRL		                    0x4A0094A0
CM_L4PER_I2C2_CLKCTRL		                    0x4A0094A8
CM_L4PER_I2C3_CLKCTRL		                    0x4A0094B0
CM_L4PER_I2C4_CLKCTRL		                    0x4A0094B8
CM_L4PER_L4PER_CLKCTRL		                  0x4A0094C0
CM_L4PER_MCBSP4_CLKCTRL	                    0x4A0094E0
CM_L4PER_MCSPI1_CLKCTRL	                    0x4A0094F0
CM_L4PER_MCSPI2_CLKCTRL	                    0x4A0094F8
CM_L4PER_MCSPI3_CLKCTRL	                    0x4A009500
CM_L4PER_MCSPI4_CLKCTRL	                    0x4A009508
CM_L4PER_MMCSD3_CLKCTRL	                    0x4A009520
CM_L4PER_MMCSD4_CLKCTRL	                    0x4A009528
CM_L4PER_SLIMBUS2_CLKCTRL	                  0x4A009538
CM_L4PER_UART1_CLKCTRL		                  0x4A009540
CM_L4PER_UART2_CLKCTRL		                  0x4A009548
CM_L4PER_UART3_CLKCTRL		                  0x4A009550
CM_L4PER_UART4_CLKCTRL		                  0x4A009558
CM_L4PER_MMCSD5_CLKCTRL	                    0x4A009560
CONTROL_LPDDR2IO1_0                         0x4A100638
CONTROL_LPDDR2IO1_1                         0x4A10063C
CONTROL_LPDDR2IO1_2                         0x4A100640
CONTROL_LPDDR2IO2_0                         0x4A100648
CONTROL_LPDDR2IO2_1                         0x4A10064C
CONTROL_LPDDR2IO2_2                         0x4A100650
PRM_IRQSTATUS_MPU                           0x4A306010
# DPLL configuration registers
CM_ABE_DSS_SYS_CLKSEL	                      0x4A306100
CM_DPLL_SYS_REF_CLKSEL	                    0x4A306104
CM_L4_WKUP_CLKSEL		                        0x4A306108
CM_ABE_PLL_REF_CLKSEL	                      0x4A30610C
CM_SYS_CLKSEL			                          0x4A306110
PM_MPU_PWRSTCTRL		                        0x4A306300
PM_CORE_PWRSTCTRL		                        0x4A306700
PM_DSS_PWRSTCTRL		                        0x4A307100
PM_L3INIT_PWRSTCTRL		                      0x4A307300
PM_L4PER_PWRSTCTRL		                      0x4A307400
# WKUP Domain Clocks
CM_WKUP_CLKSTCTRL			                      0x4A307800
CM_WKUP_WDTIMER2_CLKCTRL	                  0x4A307830
CM_WKUP_GPIO1_CLKCTRL		                    0x4A307838
CM_WKUP_GPTIMER1_CLKCTRL	                  0x4A307840
CM_WKUP_KEYBOARD_CLKCTRL	                  0x4A307878
PRM_VC_VAL_BYPASS                           0x4A307BA0
PRM_VC_CFG_I2C_MODE                         0x4A307BA8
PRM_VC_CFG_I2C_CLK                          0x4A307BAC
CM_L3INIT_CLKSTCTRL		                      0x4A009300
CM_L3INIT_STATICDEP		                      0x4A009304
CM_L3INIT_DYNAMICDEP		                    0x4A009308
CM_L3INIT_HSMMC1_CLKCTRL	                  0x4A009328
CM_L3INIT_HSMMC2_CLKCTRL	                  0x4A009330
CM_L3INIT_HSI_CLKCTRL		                    0x4A009338
CM_L3INIT_UNIPRO1_CLKCTRL	                  0x4A009340
CM_L3INIT_HSUSBHOST_CLKCTRL                 0x4A009358
CM_L3INIT_HSUSBOTG_CLKCTRL	                0x4A009360
CM_L3INIT_HSUSBTLL_CLKCTRL	                0x4A009368
CM_L3INIT_P1500_CLKCTRL	                    0x4A009378
CM_L3INIT_FSUSB_CLKCTRL	                    0x4A0093D0
CM_L3INIT_USBPHY_CLKCTRL	                  0x4A0093E0
PM_PDA_CPU0_PWRSTCTRL	                      0x48243400
PM_PDA_CPU1_PWRSTCTRL	                      0x48243800
CONTROL_EFUSE_2                             0x4A100704
EMIF1_BASE                                  0x4C000000
EMIF2_BASE                                  0x4D000000

EMIF_STATUS                                 0x00000004 
EMIF_SDRAM_CONFIG                           0x00000008
EMIF_SDRAM_REF_CTRL                         0x00000010 
EMIF_SDRAM_REF_CTRL_SHDW                    0x00000014 
EMIF_SDRAM_TIM_1                            0x00000018 
EMIF_SDRAM_TIM_1_SHDW                       0x0000001C 
EMIF_SDRAM_TIM_2                            0x00000020 
EMIF_SDRAM_TIM_2_SHDW                       0x00000024 
EMIF_SDRAM_TIM_3                            0x00000028 
EMIF_SDRAM_TIM_3_SHDW                       0x0000002C 
EMIF_PWR_MGMT_CTRL                          0x00000038 
EMIF_LPDDR2_MODE_REG_DATA                   0x00000040 
EMIF_LPDDR2_MODE_REG_CFG                    0x00000050
EMIF_READ_IDLE_CTRL                         0x00000090 
EMIF_READ_IDLE_CTRL_SHDW                    0x0000009C
EMIF_DDR_PHY_CTRL_1                         0x000000E4 
EMIF_DDR_PHY_CTRL_1_SHDW                    0x000000E8 
EMIF_DDR_PHY_CTRL_2                         0x000000EC 
MR2_RL3_WL1                                 0x00000001
MR2_RL4_WL2                                 0x00000002
MR2_RL5_WL2                                 0x00000003
MR2_RL6_WL3                                 0x00000004
REF_EN                                      0x40000000

# EMIF Registers 
EMIF1_MOD_ID_REV                            0x4C000000
EMIF1_STATUS                                0x4C000004
EMIF1_SDRAM_CONFIG                          0x4C000008
EMIF1_SDRAM_CONFIG_2                        0x4C00000C
EMIF1_LPDDR2_NVM_CONFIG                     0x4C00000C
EMIF1_SDRAM_REF_CTRL                        0x4C000010
EMIF1_SDRAM_REF_CTRL_SHDW                   0x4C000014
EMIF1_SDRAM_TIM_1                           0x4C000018
EMIF1_SDRAM_TIM_1_SHDW                      0x4C00001C
EMIF1_SDRAM_TIM_2                           0x4C000020
EMIF1_SDRAM_TIM_2_SHDW                      0x4C000024
EMIF1_SDRAM_TIM_3                           0x4C000028
EMIF1_SDRAM_TIM_3_SHDW                      0x4C00002C
EMIF1_LPDDR2_NVM_TIM                        0x4C000030
EMIF1_LPDDR2_NVM_TIM_SHDW                   0x4C000034
EMIF1_PWR_MGMT_CTRL                         0x4C000038
EMIF1_PWR_MGMT_CTRL_SHDW                    0x4C00003C
EMIF1_LPDDR2_MODE_REG_DATA                  0x4C000040
EMIF1_LPDDR2_MODE_REG_CFG                   0x4C000050
EMIF1_L3_CONFIG                             0x4C000054
EMIF1_L3_CFG_VAL_1                          0x4C000058
EMIF1_L3_CFG_VAL_2                          0x4C00005C
EMIF1_PERF_CNT_1                            0x4C000080
EMIF1_PERF_CNT_2                            0x4C000084
EMIF1_PERF_CNT_CFG                          0x4C000088
EMIF1_PERF_CNT_SEL                          0x4C00008C
EMIF1_PERF_CNT_TIM                          0x4C000090
EMIF1_READ_IDLE_CTRL                        0x4C000098
EMIF1_READ_IDLE_CTRL_SHDW                   0x4C00009C
EMIF1_IRQSTATUS_RAW_SYS                     0x4C0000A4
EMIF1_IRQSTATUS_RAW_LL                      0x4C0000A8
EMIF1_IRQSTATUS_SYS                         0x4C0000AC
EMIF1_IRQSTATUS_LL                          0x4C0000B0
EMIF1_IRQENABLE_SET_SYS                     0x4C0000B4
EMIF1_IRQENABLE_SET_LL                      0x4C0000B8
EMIF1_IRQENABLE_CLR_SYS                     0x4C0000BC
EMIF1_IRQENABLE_CLR_LL                      0x4C0000C0
EMIF1_ZQ_CONFIG                             0x4C0000C8
EMIF1_TEMP_ALERT_CONFIG                     0x4C0000CC
EMIF1_L3_ERR_LOG                            0x4C0000D0
EMIF1_DDR_PHY_CTRL_1                        0x4C0000E4
EMIF1_DDR_PHY_CTRL_1_SHDW                   0x4C0000E8
EMIF1_DDR_PHY_CTRL_2                        0x4C0000EC

EMIF2_MOD_ID_REV                            0x4D000000
EMIF2_STATUS                                0x4D000004
EMIF2_SDRAM_CONFIG                          0x4D000008
EMIF2_SDRAM_CONFIG_2                        0x4D00000C
EMIF2_LPDDR2_NVM_CONFIG                     0x4D00000C
EMIF2_SDRAM_REF_CTRL                        0x4D000010
EMIF2_SDRAM_REF_CTRL_SHDW                   0x4D000014
EMIF2_SDRAM_TIM_1                           0x4D000018
EMIF2_SDRAM_TIM_1_SHDW                      0x4D00001C
EMIF2_SDRAM_TIM_2                           0x4D000020
EMIF2_SDRAM_TIM_2_SHDW                      0x4D000024
EMIF2_SDRAM_TIM_3                           0x4D000028
EMIF2_SDRAM_TIM_3_SHDW                      0x4D00002C
EMIF2_LPDDR2_NVM_TIM                        0x4D000030
EMIF2_LPDDR2_NVM_TIM_SHDW                   0x4D000034
EMIF2_PWR_MGMT_CTRL                         0x4D000038
EMIF2_PWR_MGMT_CTRL_SHDW                    0x4D00003C
EMIF2_LPDDR2_MODE_REG_DATA                  0x4D000040
EMIF2_LPDDR2_MODE_REG_CFG                   0x4D000050
EMIF2_L3_CONFIG                             0x4D000054
EMIF2_L3_CFG_VAL_1                          0x4D000058
EMIF2_L3_CFG_VAL_2                          0x4D00005C
EMIF2_PERF_CNT_1                            0x4D000080
EMIF2_PERF_CNT_2                            0x4D000084
EMIF2_PERF_CNT_CFG                          0x4D000088
EMIF2_PERF_CNT_SEL                          0x4D00008C
EMIF2_PERF_CNT_TIM                          0x4D000090
EMIF2_READ_IDLE_CTRL                        0x4D000098
EMIF2_READ_IDLE_CTRL_SHDW                   0x4D00009C
EMIF2_IRQSTATUS_RAW_SYS                     0x4D0000A4
EMIF2_IRQSTATUS_RAW_LL                      0x4D0000A8
EMIF2_IRQSTATUS_SYS                         0x4D0000AC
EMIF2_IRQSTATUS_LL                          0x4D0000B0
EMIF2_IRQENABLE_SET_SYS                     0x4D0000B4
EMIF2_IRQENABLE_SET_LL                      0x4D0000B8
EMIF2_IRQENABLE_CLR_SYS                     0x4D0000BC
EMIF2_IRQENABLE_CLR_LL                      0x4D0000C0
EMIF2_ZQ_CONFIG                             0x4D0000C8
EMIF2_TEMP_ALERT_CONFIG                     0x4D0000CC
EMIF2_L3_ERR_LOG                            0x4D0000D0
EMIF2_DDR_PHY_CTRL_1                        0x4D0000E4
EMIF2_DDR_PHY_CTRL_1_SHDW                   0x4D0000E8
EMIF2_DDR_PHY_CTRL_2                        0x4D0000EC

DMM_LISA_MAP_REGISTER_0                     0x4E000040
DMM_LISA_MAP_REGISTER_1                     0x4E000044
DMM_LISA_MAP_REGISTER_2                     0x4E000048
DMM_LISA_MAP_REGISTER_3                     0x4E00004C

MA_LISA_MAP_REGISTER_0                      0x482AF040
MA_LISA_MAP_REGISTER_1                      0x482AF044
MA_LISA_MAP_REGISTER_2                      0x482AF048
MA_LISA_MAP_REGISTER_3                      0x482AF04C

CM_IVAHD_IVAHD_CLKCTRL                      0x4A008F20
CM_IVAHD_SL2_CLKCTRL                        0x4A008F28
INTRCONN_SOCKET_CM2                         0x4A008000
CKGEN_CM2                                   0x4A008100
ALWAYS_ON_CM2                               0x4A008600
CORE_CM2                                    0x4A008700
IVAHD_CM2                                   0x4A008F00
CAM_CM2                                     0x4A009000
DSS_CM2                                     0x4A009100
SGX_CM2                                     0x4A009200
L3INIT_CM2                                  0x4A009300
L4PER_CM2                                   0x4A009400
RESTORE_CM2                                 0x4A009E00
INSTR_CM2                                   0x4A009F00
CM_DSP_CLKSTCTRL                            0x4A004400
CM_DSP_STATICDEP                            0x4A004404
CM_DSP_DYNAMICDEP                           0x4A004408
CM_DSP_DSP_CLKCTRL                          0x4A004420
CM1_ABE_CLKSTCTRL                           0x4A004500
CM1_ABE_L4ABE_CLKCTRL                       0x4A004520
CM1_ABE_AESS_CLKCTRL                        0x4A004528
CM1_ABE_PDM_CLKCTRL                         0x4A004530
CM1_ABE_DMIC_CLKCTRL                        0x4A004538
CM1_ABE_MCASP_CLKCTRL                       0x4A004540
CM1_ABE_MCBSP1_CLKCTRL                      0x4A004548
CM1_ABE_MCBSP2_CLKCTRL                      0x4A004550
CM1_ABE_MCBSP3_CLKCTRL                      0x4A004558
CM1_ABE_SLIMBUS_CLKCTRL                     0x4A004560
CM1_ABE_GPTIMER5_CLKCTRL                    0x4A004568
CM1_ABE_GPTIMER6_CLKCTRL                    0x4A004570
CM1_ABE_GPTIMER7_CLKCTRL                    0x4A004578
CM1_ABE_GPTIMER8_CLKCTRL                    0x4A004580
CM1_ABE_WDTIMER3_CLKCTRL                    0x4A004588
CM_CAM_CLKSTCTRL                            0x4A009000
CM_CAM_STATICDEP                            0x4A009004
CM_CAM_DYNAMICDEP                           0x4A009008
CM_CAM_ISS_CLKCTRL                          0x4A009020
CM_CAM_FDIF_CLKCTRL                         0x4A009028
CM_SGX_CLKSTCTRL                            0x4A009200
CM_SGX_STATICDEP                            0x4A009204
CM_SGX_DYNAMICDEP                           0x4A009208
CM_SGX_SGX_CLKCTRL                          0x4A009220
CM_AUTOIDLE_DPLL_ABE                        0x4A0041E8
CM_CLKSEL_DPLL_ABE                          0x4A0041EC
CM_DIV_M2_DPLL_ABE                          0x4A0041F0
CM_DIV_M3_DPLL_ABE                          0x4A0041F4
CM_SSC_DELTAMSTEP_DPLL_ABE                  0x4A004208
CM_SSC_MODFREQDIV_DPLL_ABE                  0x4A00420C
CM_CLKMODE_DPLL_ABE                         0x4A0041E0
CM_CLKSEL_USB_60MHZ                         0x4A008104
CM_CLKMODE_DPLL_USB                         0x4A008180
CM_IDLEST_DPLL_USB                          0x4A008184
CM_AUTOIDLE_DPLL_USB                        0x4A008188
CM_CLKSEL_DPLL_USB                          0x4A00818C
CM_DIV_M2_DPLL_USB                          0x4A008190
CM_SSC_DELTAMSTEP_DPLL_USB                  0x4A0081A8
CM_SSC_MODFREQDIV_DPLL_USB                  0x4A0081AC
CM_CLKDCOLDO_DPLL_USB                       0x4A0081B4
CM_CLKMODE_DPLL_IVA                         0x4A0041A0
CM_IDLEST_DPLL_IVA                          0x4A0041A4
CM_AUTOIDLE_DPLL_IVA                        0x4A0041A8
CM_CLKSEL_DPLL_IVA                          0x4A0041AC
CM_DIV_M4_DPLL_IVA                          0x4A0041B8
CM_DIV_M5_DPLL_IVA                          0x4A0041BC
CM_SSC_DELTAMSTEP_DPLL_IVA                  0x4A0041C8
CM_SSC_MODFREQDIV_DPLL_IVA                  0x4A0041CC
CM_BYPCLK_DPLL_IVA                          0x4A0041DC

# Memory timings

JEDEC_TIM1_OPPBOOT	                        0x04442049
JEDEC_TIM1_OPP25	                          0x04444189
JEDEC_TIM1_OPP50	                          0x08648311
JEDEC_TIM1_OPP100	                          0x10EB065A
JEDEC_TIM1_OPP25_SDC	                      0x04443149
JEDEC_TIM1_OPP50_SDC	                      0x06446289
JEDEC_TIM1_OPP100_SDC	                      0x0CA8D51A

JEDEC_TIM2_OPPBOOT	                        0x1002008A
JEDEC_TIM2_OPP25	                          0x100D034A
JEDEC_TIM2_OPP50	                          0x101B06CA
